[2019-07-10 16:07:57] File:/var/www/html/TT/routes/api.php |Message:Too few arguments to function System\Engine\Http\Routing\Route::{closure}(), 0 passed and exactly 1 expected |Line:11
[2019-07-10 16:07:53] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:34] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:35] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:50] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:15] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:16] File:/var/www/html/TT/app/Middleware/CsrfProtected.php |Message:VERIFY CSRF TOKEN FAILED |Line:29
[2019-07-10 16:07:04] File:/var/www/html/TT/app/Middleware/cors.php |Message:Non-static method System\Engine\Http\Response::send() should not be called statically |Line:13
[2019-07-10 16:07:04] File:/var/www/html/TT/app/Middleware/cors.php |Message:Undefined index: HTTP_REFERER |Line:13
[2019-07-10 16:07:04] File:/var/www/html/TT/system/Engine/Http/Response.php |Message:Using $this when not in object context |Line:343
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Undefined index: HTTP_REFERER |Line:13
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:14
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:15
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:16
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:17
[2019-07-10 16:07:21] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:18
[2019-07-10 16:07:30] File:/var/www/html/TT/app/Middleware/cors.php |Message:Undefined index: HTTP_REFERER |Line:13
[2019-07-10 16:07:30] File:/var/www/html/TT/app/Middleware/cors.php |Message:Cannot modify header information - headers already sent by (output started at /var/www/html/TT/system/Exceptions/resource/exception.php:1) |Line:14
